"Sample","DNAmAge","Status","Tissue"
"GSM4518921",0.982840313087919,"HGPS","Skin Fibroblast"
"GSM4518922",10.14672625689,"HGPS","Skin Fibroblast"
"GSM4518923",0.691481039296644,"HGPS","Skin Fibroblast"
"GSM4518924",18.9809454817246,"HGPS","Skin Fibroblast"
"GSM4518925",1.57338935601547,"HGPS","Skin Fibroblast"
"GSM4518926",37.3739891816615,"Control","Skin Fibroblast"
"GSM4518927",34.718974770558,"Control","Skin Fibroblast"
"GSM4518928",11.194620186292,"Control","Skin Fibroblast"
"GSM4518929",14.8666548927672,"Control","Skin Fibroblast"
"GSM4518930",36.0596055373129,"Control","Skin Fibroblast"
"GSM4518931",26.0837862727453,"Control","Skin Fibroblast"
"GSM4518932",11.6879635145324,"HGPS","Skin Fibroblast"
"GSM4518933",5.21677426666888,"HGPS","Skin Fibroblast"
"GSM4518934",5.16027555841281,"HGPS","Skin Fibroblast"
"GSM4518935",22.3317732946541,"HGPS","Skin Fibroblast"
"GSM5548192",8.0860244200036,"HGPS","Whole Blood"
"GSM5548193",1.70494000932768,"HGPS","Whole Blood"
"GSM5548194",0.270975789523253,"HGPS","Whole Blood"
"GSM5548195",0.993898449859532,"HGPS","Whole Blood"
"GSM5548196",5.20529732410154,"HGPS","Whole Blood"
"GSM5548197",5.27137132396519,"HGPS","Whole Blood"
"GSM5548198",-0.265696553839075,"HGPS","Whole Blood"
"GSM5548199",0.647104615567444,"HGPS","Whole Blood"
"GSM5548207",6.54157261412473,"Control","Whole Blood"
"GSM5548208",0.254102793065516,"Control","Whole Blood"
"GSM5548209",-0.157544942624918,"Control","Whole Blood"
"GSM5548210",2.17793001488861,"Control","Whole Blood"
"GSM5548211",2.27044772511395,"Control","Whole Blood"
"GSM5548212",4.51247757609545,"Control","Whole Blood"
"GSM5548213",1.23744517791852,"Control","Whole Blood"
"GSM5548214",-0.0894043467836303,"Control","Whole Blood"
"GSM5548215",9.3680146701582,"Control","Whole Blood"
"GSM5548216",2.56412040681395,"Control","Whole Blood"
"GSM5548217",44.0503080561525,"Control","Whole Blood"
"GSM5548218",4.5080392548884,"Control","Whole Blood"
