"Sample","Status","LAD_mean","iLAD_mean","LAD_iLAD_diff"
"GSM4518921_200392810037_R01C01","HGPS",0.536174108106913,0.563681065134199,-0.0275069570272863
"GSM4518922_200392810037_R02C01","HGPS",0.472804693507536,0.53907679366528,-0.0662721001577442
"GSM4518923_200392810037_R03C01","HGPS",0.557821533286373,0.558268680801279,-0.000447147514906376
"GSM4518924_200392810037_R04C01","HGPS",0.530800859695661,0.560499398698482,-0.0296985390028214
"GSM4518925_200392810037_R05C01","HGPS",0.526555710988309,0.544921063875283,-0.0183653528869742
"GSM4518926_200392810037_R07C01","Control",0.503150983650856,0.544114066620154,-0.0409630829692977
"GSM4518927_200392810037_R08C01","Control",0.506832566047364,0.539056031091947,-0.0322234650445835
"GSM4518928_200784530084_R01C01","Control",0.454125964202785,0.52691317511622,-0.072787210913435
"GSM4518929_200784530084_R02C01","Control",0.44078940294421,0.51164060531408,-0.07085120236987
"GSM4518930_200784530084_R03C01","Control",0.416596702073678,0.505354581751393,-0.088757879677715
"GSM4518931_200784530084_R04C01","Control",0.388489232723061,0.502842706965625,-0.114353474242564
"GSM4518932_200784530084_R05C01","HGPS",0.481678733555215,0.521461731722481,-0.0397829981672663
"GSM4518933_200784530084_R06C01","HGPS",0.49542083577567,0.525808888413166,-0.0303880526374957
"GSM4518934_200784530084_R07C01","HGPS",0.494103194417727,0.524423837063066,-0.0303206426453388
"GSM4518935_200784530084_R08C01","HGPS",0.453018062099598,0.513781233209562,-0.0607631711099643
